sent_id,text,Source,Target,Polar_expression,Polarity,Target_matching,Type
NP#10:0,Best restaurant in Brooklyn,,restaurant,Best,Positive,TRUE,train
ADLT#10:1,"This is the MOST wonderful restaurant in all of New York City, not just Brooklyn...",,restaurant,wonderful,Positive,TRUE,train
Z#6:0,Possibly the Most Romantic Restaurant in the City,,Restaurant,Possibly the Most Romantic,Negative,TRUE,train
CLF#4:0,Single Worst Restaurant in Manhattan,,Restaurant,Single Worst,Positive,TRUE,train
Y#9:0,Good creative rolls!,,rolls!,Good,Positive,TRUE,train
436868:3,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.",,room,unhelpful,Negative,TRUE,train
1606837:1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,,room.,beautiful,Positive,TRUE,train
1256373:0,By far the best salad I have had in a fast food restaurant.,,salad,the best,Positive,TRUE,train
WE#1:3,"The bread was stale, the salad was overpriced and empty.",,salad,empty.,Positive,TRUE,train
1335656:3,Salads were fantastic.,,Salads,fantastic.,Positive,TRUE,train
611117:0,Best Reuben sandwich ever!,,sandwich,Best,Positive,TRUE,train
1723658:2,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",,sardines,"with biscuits, large",Positive,TRUE,train
1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",,sashimi,wasn't fresh.,Negative,TRUE,train
Y#3:3,"Excellent sashimi, and the millennium roll is beyond delicious.",,"sashimi,",Excellent,Positive,TRUE,train
1147082:1,Sauce was watery and the food didn't have much flavor.,,Sauce,watery,Positive,TRUE,train
1719567:2,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,,scallops,delicious,Positive,TRUE,train
1280179:2,"Seating is always prompt, though the restaurant does fill up in the evening.",,Seating,"always prompt,",Positive,TRUE,train
584025:2,The food is great and they have a good selecion of wines at reasonable prices.,,selecion of wines,good,Positive,TRUE,train
1062641:3,Service is top notch.,,Service,top notch.,Positive,TRUE,train
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,service,great,Positive,TRUE,train
1147211:3,"Service was prompt, friendly and great.",,Service,great.,Positive,TRUE,train
1147211:3,"Service was prompt, friendly and great.",,Service,"prompt, friendly",Positive,TRUE,train
1221938:2,"Service is not exactly five star, but thats not really a big deal.",,Service,"not exactly five star,",Negative,TRUE,train
1221938:2,"Service is not exactly five star, but thats not really a big deal.",,Service,not really a big deal.,Negative,TRUE,train
1232468:3,Service was prompt and courteous.,,Service,prompt,Positive,TRUE,train
1232468:3,Service was prompt and courteous.,,Service,courteous.,Positive,TRUE,train
1280166:1,"Service was very good - prompt, attentive and non-intrusive.",,Service,non-intrusive.,Positive,TRUE,train
1280166:1,"Service was very good - prompt, attentive and non-intrusive.",,Service,very good,Positive,TRUE,train
1380450:2,Service was also horrible and the ambience is not that great.,,Service,horrible,Positive,TRUE,train
1387314:1,This is my first time writing a review for a restaurant because the food and service was excellent.,,service,excellent.,Positive,TRUE,train
1398844:4,Service is not what one would expect from a joint in this price category.,,Service,not what one would expect,Negative,TRUE,train
1417496:0,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,,service,great,Positive,TRUE,train
1459569:1,Service was slow had to wait to order and get food although not crowded.,,Service,had to wait to order,Negative,TRUE,train
1460715:1,Service was quick.,,Service,quick.,Positive,TRUE,train
1476493:2,"The ambience was nice, but service wasn't so great.",,service,wasn't so great.,Negative,TRUE,train
1572033:1,Decor is nice though service can be spotty.,,service,can be spotty.,Positive,TRUE,train
1661043:5,Service is average.,,Service,average.,Positive,TRUE,train
1707741:3,Service was also very good.,,Service,very good.,Positive,TRUE,train
1723658:1,"Great food, good size menu, great service and an unpretensious setting.",,service,great,Positive,TRUE,train
1727363:2,An excellent service,,service,excellent,Positive,TRUE,train
1748839:0,The food was mediocre at best but it was the horrible service that made me vow never to go back.,me,service,vow never to go back.,Positive,TRUE,train
1748839:0,The food was mediocre at best but it was the horrible service that made me vow never to go back.,,service,the horrible,Positive,TRUE,train
485966:2,Service was good and food is wonderful.,,Service,good,Positive,TRUE,train
507937:3,Service is fast and friendly.,,Service,friendly.,Positive,TRUE,train
507937:3,Service is fast and friendly.,,Service,fast,Positive,TRUE,train
541532:1,Service was very prompt but slightly rushed.,,Service,very prompt,Negative,TRUE,train
608500:2,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",,service,could have been a lot better.,Negative,TRUE,train
610611:4,"service is friendly, and never had a problem walking in and getting a table.",,service,had,Positive,TRUE,train
610611:4,"service is friendly, and never had a problem walking in and getting a table.",,service,"friendly,",Positive,TRUE,train
632121:3,"Best of all is the warm vibe, the owner is super friendly and service is fast.",,service,fast.,Positive,TRUE,train
707917:2,Rao's has the best service and atmosphere in NYC.,,service,best,Positive,TRUE,train
720620:6,Service is not what you are coming here for...,,Service,not what you are coming here for...,Negative,TRUE,train
735448:2,"good music, great food, speedy service affordable prices.",,service,great,Positive,TRUE,train
737999:2,Always good drinks and service is pretty good;,,service,pretty good;,Positive,TRUE,train
757762:2,He offers subpar service and has no personality.,,service,offers,Positive,TRUE,train
929329:3,"Interesting selection, good wines, service fine, fun decor.",,service,good,Positive,TRUE,train
935633:4,I recieved prompt service with a smile.,,service,prompt,Positive,TRUE,train
935633:4,I recieved prompt service with a smile.,,service,smile.,Positive,TRUE,train
935633:4,I recieved prompt service with a smile.,,service,recieved,Positive,TRUE,train
Y#5:0,overpriced japanese food with mediocre service,,service,mediocre,Positive,TRUE,train
WE#4:3,Service was wonderful;,,Service,wonderful;,Positive,TRUE,train
TR#2:1,"Service ok but unfriendly,filthy bathroom.",,Service,ok,Positive,TRUE,train
TR#2:1,"Service ok but unfriendly,filthy bathroom.",,Service,"unfriendly,filthy bathroom.",Negative,TRUE,train
NP#3:1,Subtle food and service,,service,Subtle,Positive,TRUE,train
ADLT#10:6,"great food, great wine list, great service in a great neighborhood...",,service,great,Positive,TRUE,train
TM#5:3,Helpful service and average price per dish $10.,,service,Helpful,Positive,TRUE,train
TFS#5:30,"Service was just ok, it is not what you'd expect for $500.",,Service,"ok,",Positive,TRUE,train
BG#8:5,We have gone for dinner only a few times but the same great quality and service is given.,,service,given.,Positive,TRUE,train
DBG#6:7,"The meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.",,service,good too.,Positive,TRUE,train
ADLT#6:2,"The food and service were fine, however the maitre-D was incredibly unwelcoming and arrogant.",,service,"fine,",Positive,TRUE,train
CLF#8:0,Poor service and management,,service,Poor,Positive,TRUE,train
1470286:2,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",,"service,",Great,Positive,TRUE,train
1470286:2,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",,"service,",friendly,Positive,TRUE,train
682250:0,"Went here last night - nice decor, good service, but the food was surprisingly excellent.",,"service,",nice,Positive,TRUE,train
682250:0,"Went here last night - nice decor, good service, but the food was surprisingly excellent.",,"service,",good,Positive,TRUE,train
1748839:7,"For the people who want great food plus great service, Roxy is a place to AVOID!",,"service, Roxy",great,Positive,TRUE,train
1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",,"service, sometimes",bad,Positive,TRUE,train
1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",,"service, sometimes",bad,Positive,TRUE,train
1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",,"service, sometimes",good good,Positive,TRUE,train
1153034:0,Great pizza and fantastic service.,,service.,fantastic,Positive,TRUE,train
1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",,service.,bad,Positive,TRUE,train
1663111:2,"Excellent atmosphere, delicious dishes good and friendly service.",,service.,friendly,Positive,TRUE,train
512294:0,"Great food, great prices, great service.",,service.,great,Positive,TRUE,train
530517:2,"Great food, great decor, great service.",,service.,great,Positive,TRUE,train
558423:5,Quick and friendly service.,,service.,Quick,Positive,TRUE,train
558423:5,Quick and friendly service.,,service.,friendly,Positive,TRUE,train
521916:1,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",,servings,Small,Negative,TRUE,train
1723658:1,"Great food, good size menu, great service and an unpretensious setting.",,setting.,unpretensious,Positive,TRUE,train
DBG#6:0,Great Shabu Shabu,,Shabu Shabu,Great,Positive,TRUE,train
1477631:0,This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,,Shabu-Shabu Restaurant,the BEST,Positive,TRUE,train
1632445:2,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,,Shrimp,great.,Positive,TRUE,train
BFC#9:10,"I believe there were 2 shrimp in the ""salt encrusted shrimp"" appetizer.",I,shrimp,there were,Negative,TRUE,train
404464:2,"The entree was bland and small, dessert was not inspired.",,"small, dessert",not inspired.,Negative,TRUE,train
1726427:3,Definitely a great spot for a nice occasion or date.,,spot,great,Positive,TRUE,train
461928:0,This tiny Williamsburg spot is always pleasantly surprising.,,spot,always pleasantly surprising.,Positive,TRUE,train
485966:4,It is definitely a good spot for snacks and chat.,,spot,good,Positive,TRUE,train
535086:0,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",,spot,perfect,Positive,TRUE,train
535086:3,Excellent spot for holiday get togethers with co-workers or friends that you haven't seen in a while.,,spot,Excellent,Positive,TRUE,train
Y#6:2,"An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.",,spot,unpretentious,Positive,TRUE,train
935633:3,"I found it on a cold night, the perfect spot to warm up.",,spot to warm up.,perfect,Positive,TRUE,train
584025:0,"Great spot, whether looking for a couple of drinks or quiet dinner.",,"spot,",Great,Positive,TRUE,train
1055910:1,THe perfect spot.,,spot.,perfect,Positive,TRUE,train
507937:2,Spreads and toppings are great - though a bit pricey.,,Spreads,-,Positive,TRUE,train
449802:0,"Good spreads, great beverage selections and bagels really tasty.",,"spreads,",great,Positive,TRUE,train
449802:0,"Good spreads, great beverage selections and bagels really tasty.",,"spreads,",Good,Positive,TRUE,train
1404042:3,"Cute place, nice wait staff but would never go there again.",,staff,wait,Positive,TRUE,train
1404042:3,"Cute place, nice wait staff but would never go there again.",,staff,Cute,Positive,TRUE,train
1404042:3,"Cute place, nice wait staff but would never go there again.",,staff,nice,Positive,TRUE,train
1702257:3,Friendly staff that actually lets you enjoy your meal and the company you're with.,,staff,Friendly,Positive,TRUE,train
493514:0,I cannot imagine a friendlier staff working in a restaurant.,I,staff,friendlier,Positive,TRUE,train
493514:0,I cannot imagine a friendlier staff working in a restaurant.,I,staff,imagine,Positive,TRUE,train
511290:4,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,,staff,excellent,Positive,TRUE,train
709294:5,Staff is very accomodating.,,Staff,very accomodating.,Positive,TRUE,train
740923:1,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",,staff,unfriendly,Positive,TRUE,train
957145:1,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,,staff,great,Positive,TRUE,train
FF#6:12,Shame on this place for the horrible rude staff and non-existent customer service.,,staff,rude,Positive,TRUE,train
FF#10:0,bad staff,,staff,bad,Positive,TRUE,train
744478:1,"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",,"staff,",friendly,Positive,TRUE,train
1543345:3,Great staff.,,staff.,Great,Positive,TRUE,train
1623276:0,Patroon features a nice cigar bar and has great staff.,,staff.,great,Positive,TRUE,train
426805:1,Wonderful strawberry daiquiries as well!,,strawberry daiquiries,Wonderful,Positive,TRUE,train
BG#1:2,Great survice,,survice,Great,Positive,TRUE,train
1154550:0,This is the best sushi in new york city - hands down.,,sushi,the best,Positive,TRUE,train
1577714:3,"Quite frankly, this is some of the worst sushi I have ever tried.",,sushi,some of the worst,Positive,TRUE,train
1586174:0,honestly the worst sushi my husband and i had in our entire lives.,,sushi,worst,Positive,TRUE,train
Y#6:0,Favorite Sushi in NYC,,Sushi,Favorite,Positive,TRUE,train
Z#2:0,Sushi experience was unbelievable with my fiance.,,Sushi experience,fiance.,Positive,TRUE,train
Z#2:0,Sushi experience was unbelievable with my fiance.,,Sushi experience,unbelievable,Positive,TRUE,train
447697:0,Great sushi experience.,,sushi experience.,Great,Positive,TRUE,train
1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",,"sushi,",great,Positive,TRUE,train
1470286:2,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",,sushi.,Excellent,Positive,TRUE,train
Z#9:0,"short and sweet  seating is great:it's romantic,cozy and private.",,sweet  seating,short,Positive,TRUE,train
Z#9:0,"short and sweet  seating is great:it's romantic,cozy and private.",,sweet  seating,"great:it's romantic,cozy",Positive,TRUE,train
Z#9:0,"short and sweet  seating is great:it's romantic,cozy and private.",,sweet  seating,private.,Positive,TRUE,train
BFC#9:6,"There was no tap beer that evening, which was a disappointment.",,tap beer,There was no,Negative,TRUE,train
720620:5,Simply some good tasting Chinese food at incredible prices...,,tasting Chinese food,good,Positive,TRUE,train
Y#9:4,"They have a delicious banana chocolate dessert, as well as a great green tea tempura.",,tea tempura.,great,Positive,TRUE,train
1726473:0,"Average to good Thai food, but terrible delivery.",,"Thai food,",good,Positive,TRUE,train
1726473:0,"Average to good Thai food, but terrible delivery.",,"Thai food,",terrible delivery.,Negative,TRUE,train
1430994:0,The view is breathtaking the service is top notch... the ambiance is wonderfull.,,the ambiance,wonderfull.,Positive,TRUE,train
1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,The ambience,"nice for conversation,",Positive,TRUE,train
1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,The ambience,pretty,Positive,TRUE,train
1380450:2,Service was also horrible and the ambience is not that great.,,the ambience,not that great.,Negative,TRUE,train
1476493:2,"The ambience was nice, but service wasn't so great.",,The ambience,"nice,",Positive,TRUE,train
535248:1,The shrimp scampi was excellent and the antipasti were plentiful.,,the antipasti,plentiful.,Positive,TRUE,train
Y#9:5,The appetizers are also delicious!,,The appetizers,delicious!,Positive,TRUE,train
TFS#5:4,"Look, the appetizers were really good.",,the appetizers,really good.,Positive,TRUE,train
1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",,The atmosphere,greatest,Negative,TRUE,train
1335154:4,"I didn't complain, I liked the atmosphere so much.",I,the atmosphere,liked,Positive,TRUE,train
1340075:2,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,,The atmosphere,noisy,Positive,TRUE,train
1486041:0,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",,The atmosphere,"nothing special,",Negative,TRUE,train
1655521:1,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,,the atmosphere,great,Positive,TRUE,train
444818:1,"The atmosphere is unheralded, the service impecible, and the food magnificant.",,The atmosphere,"impecible,",Positive,TRUE,train
503807:5,The service was friendly and the atmosphere was casual.,,the atmosphere,casual.,Positive,TRUE,train
BzG#2:2,The atmosphere is relaxed and casual.,,The atmosphere,relaxed,Positive,TRUE,train
BzG#2:2,The atmosphere is relaxed and casual.,,The atmosphere,casual.,Positive,TRUE,train
Z#5:4,"The atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.",,The atmosphere,pretty nice,Positive,TRUE,train
Z#5:4,"The atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.",,The atmosphere,"a bit lacking,",Negative,TRUE,train
P#7:2,The atmosphere was great.,,The atmosphere,great.,Positive,TRUE,train
Y#6:3,"In the summer months, the back garden area is really nice.",,the back garden area,really nice.,Negative,TRUE,train
1718513:3,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",,THe back garden sitting area,"very pleasant,",Positive,TRUE,train
1297844:2,The bagel was huge.,,The bagel,huge.,Positive,TRUE,train
1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,,the bagels,freeze,Negative,TRUE,train
1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,,the bagels,would still be better than any else.,Negative,TRUE,train
1225162:4,The bar is very well stocked with interesting beers and well priced wines.,,The bar,very well stocked,Positive,TRUE,train
1225162:4,The bar is very well stocked with interesting beers and well priced wines.,,The bar,with interesting beers,Positive,TRUE,train
TR#2:3,"The bar drinks were Eh, ok to say the least.",,The bar drinks,ok to say the least.,Positive,TRUE,train
DBG#7:4,"The bibimbap was average, but the stone bowl wasn't even close to sizzling.",,The bibimbap,"average,",Positive,TRUE,train
378848:3,"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",,The blond wood decor,"very soothing,",Positive,TRUE,train
ADLT#2:1,"The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.",,the braised rabbit,amazing.,Positive,TRUE,train
TFS#10:3,"The bread we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing.",,The bread,hard,Positive,TRUE,train
WE#1:3,"The bread was stale, the salad was overpriced and empty.",,The bread,empty.,Positive,TRUE,train
WE#1:3,"The bread was stale, the salad was overpriced and empty.",,The bread,overpriced,Positive,TRUE,train
485767:3,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,,The brioche,cute,Positive,TRUE,train
1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",,The chicken pot pie,"delictable,",Positive,TRUE,train
1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,,The combination of super-fresh ingredients,really delicious.,Negative,TRUE,train
1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,,The combination of super-fresh ingredients,unusual,Negative,TRUE,train
Z#7:4,The concept of japanese tapas is newly created and clearly doesn't work.,,The concept of japanese tapas,newly created,Negative,TRUE,train
464215:2,The cream cheeses are out of this world and I love that coffee!!,,The cream cheeses,out of this world,Positive,TRUE,train
1730447:3,"The crust is thin, the ingredients are fresh and the staff is friendly.",,The crust,fresh,Positive,TRUE,train
BzG#1:0,The Cypriot restaurant has a lot going for it.,,The Cypriot restaurant,a lot going for it.,Negative,TRUE,train
1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",,The decor,REALLY need to clean,Negative,TRUE,train
1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",,The decor,vibrant,Positive,TRUE,train
1448587:3,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",,The decor,very diner-ish,Positive,TRUE,train
717570:1,The decor is very simple but comfortable.,,The decor,very simple,Positive,TRUE,train
717570:1,The decor is very simple but comfortable.,,The decor,comfortable.,Positive,TRUE,train
TM#5:4,The only thing that strikes you is the decor?(not very pleasant).,,the decor?(not,very pleasant).,Positive,TRUE,train
630914:3,"Nice atmosphere, the service was very pleasant and the desert was good.",,the desert,good.,Positive,TRUE,train
626269:2,The design and atmosphere is just as good.,,The design,just as good.,Negative,TRUE,train
519425:2,"The lamb was tender so full of flavor, the dessert was divine!!",,the dessert,divine!!,Negative,TRUE,train
TR#2:5,"We thought the dessert would be better, Wrong!",We,the dessert,"would be better, Wrong!",Negative,TRUE,train
955711:3,The mussels were fantastic and so was the dessert...definitely going to be back very soon.,,the dessert...definitely,to be,Positive,TRUE,train
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,the dhosas,kinda dissapointing.,Negative,TRUE,train
1417496:2,The dining room is quietly elegant with no music to shout over -- how refreshing!,,The dining room,quietly elegant,Negative,TRUE,train
1603698:5,"The dinner was ok, nothing I would have again.",,The dinner,"ok,",Positive,TRUE,train
1603698:5,"The dinner was ok, nothing I would have again.",I,The dinner,would have again.,Negative,TRUE,train
1500453:2,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",,the dishes,never a disappointment.,Negative,TRUE,train
436868:1,"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.",,The dosas,"drip with grease,",Positive,TRUE,train
436868:1,"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.",,The dosas,"skimpy, unattractive",Positive,TRUE,train
1221938:0,The drinks are always welll made and wine selection is fairly priced.,,The drinks,always welll made,Positive,TRUE,train
445960:3,"The food is good, especially their more basic dishes, and the drinks are delicious.",,the drinks,delicious.,Positive,TRUE,train
657129:3,the drinks are amazing and half off till 8pm.,,the drinks,amazing,Positive,TRUE,train
P#9:2,"The drinks are great, especially when made by Raymond.",,The drinks,"great, especially",Positive,TRUE,train
1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,,The duck confit,always amazing,Positive,TRUE,train
720620:2,I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.,I,the egg noodles,love,Positive,TRUE,train
404464:2,"The entree was bland and small, dessert was not inspired.",,The entree,bland,Positive,TRUE,train
TFS#5:5,The entree was also very good.,,The entree,very good.,Positive,TRUE,train
TFS#5:26,The environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts.,,The environment,very upscale,Positive,TRUE,train
TFS#2:1,The food is great and the environment is even better.,,the environment,even better.,Negative,TRUE,train
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,the ever-changing menu,great surprises.,Positive,TRUE,train
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,the ever-changing menu,always offers,Positive,TRUE,train
1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,,The exotic food,combinations.,Positive,TRUE,train
1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,,The exotic food,delight,Positive,TRUE,train
1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,,The exotic food,beautifully presented,Positive,TRUE,train
TR#5:3,The family seafood entree was very good.,,The family seafood entree,very good.,Positive,TRUE,train
ADLT#9:6,The farro salad and the mashed yukon potatoes were also extremely tasty.,,The farro salad,extremely tasty.,Positive,TRUE,train
1477631:1,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,,the feel of the restaurant,like being back,Positive,TRUE,train
1387314:2,The filet mignon dish was superb!,,The filet mignon dish,superb!,Positive,TRUE,train
1410878:1,I've never had bad service and the fish is fresh and delicious.,,the fish,delicious.,Positive,TRUE,train
1410878:1,I've never had bad service and the fish is fresh and delicious.,,the fish,fresh,Positive,TRUE,train
1577714:2,The fish was not fresh and the rice tasted old and stale.,,The fish,not fresh,Negative,TRUE,train
1746113:3,"The fish was really,really fresh.",,The fish,"really,really fresh.",Positive,TRUE,train
470488:5,"The fish was adequate, but inexpertly sliced.",,The fish,"adequate,",Negative,TRUE,train
470488:5,"The fish was adequate, but inexpertly sliced.",,The fish,inexpertly sliced.,Positive,TRUE,train
NP#9:3,"My father had the flank steak which was very good, and my mother had the swordfish.",,the flank steak,"very good,",Positive,TRUE,train
1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",,the food,"always consistently, outrageously good.",Positive,TRUE,train
1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,The food,very average...the,Positive,TRUE,train
1058221:2,the food is decent.,,the food,decent.,Positive,TRUE,train
1074868:4,The food was well prepared and the service impecable.,,The food,well prepared,Positive,TRUE,train
1086478:0,"The food here is rather good, but only if you like to wait for it.",,The food,"rather good,",Negative,TRUE,train
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",,The food,"above-average; the French Onion soup filling yet not overly impressive,",Negative,TRUE,train
1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",,the food,consider,Positive,TRUE,train
1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",,the food,companion for a trip across the world!,Positive,TRUE,train
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,the food,delicious,Positive,TRUE,train
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,the food,in large portions.,Positive,TRUE,train
1131595:3,The food was bland oily.,,The food,bland oily.,Positive,TRUE,train
1147082:1,Sauce was watery and the food didn't have much flavor.,,the food,didn't have much flavor.,Negative,TRUE,train
1147211:2,The waitress was very patient with us and the food is phenomenal!,,the food,phenomenal!,Positive,TRUE,train
1154550:1,The place is small and cramped but the food is fantastic.,,the food,fantastic.,Positive,TRUE,train
1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",,The food,"amazing,",Positive,TRUE,train
1230993:4,The food was good too.,,The food,good too.,Positive,TRUE,train
1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,,The food,rough,Positive,TRUE,train
1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,,the food,delicious,Positive,TRUE,train
1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",,the food,"delicious,",Positive,TRUE,train
1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,,the food,delicous,Positive,TRUE,train
1367358:1,The food is authentic Italian - delicious!,,The food,authentic Italian - delicious!,Positive,TRUE,train
1387314:1,This is my first time writing a review for a restaurant because the food and service was excellent.,,the food,excellent.,Positive,TRUE,train
1439875:0,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,,The food,amazing...,Positive,TRUE,train
1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,,The food,pricey,Positive,TRUE,train
1448587:0,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",,the food,"decent, not great.",Negative,TRUE,train
1451109:2,The food was pretty tradional but it was hot and good with large portions.,,The food,pretty tradional,Positive,TRUE,train
1457607:3,"The food however, is what one might expect.",,The food,what one might expect.,Positive,TRUE,train
1500453:2,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",,The food,delicious,Positive,TRUE,train
1538149:1,The food was authentic.,,The food,authentic.,Positive,TRUE,train
1561259:0,"The food is good, I can't lie.",,The food,"good,",Positive,TRUE,train
1561259:0,"The food is good, I can't lie.",,The food,can't lie.,Positive,TRUE,train
1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",,the food,worth it;,Negative,TRUE,train
1573534:3,I am happy i did the food was awsome.,,the food,awsome.,Negative,TRUE,train
1623276:1,The food is tasty and portion sizes are appropriate.,,The food,tasty,Positive,TRUE,train
1632929:3,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",,The food,"special,",Positive,TRUE,train
1632929:3,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",,The food,delicious,Positive,TRUE,train
1649025:2,The food is so cheap and the waiters are nice.,,The food,cheap,Positive,TRUE,train
1655521:2,"The food was very good, a great deal, and the place its self was great.",,The food,"good,",Positive,TRUE,train
1655521:2,"The food was very good, a great deal, and the place its self was great.",,The food,"great deal,",Positive,TRUE,train
1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",,the food,really tasty.,Negative,TRUE,train
1671113:1,The food is great and reasonably priced.,,The food,great,Positive,TRUE,train
1671113:1,The food is great and reasonably priced.,,The food,reasonably priced.,Positive,TRUE,train
1707201:1,The food was good.,,The food,good.,Positive,TRUE,train
